"model","converged","break_id","breakpoint","breakpoint_se","AIC","BIC","n_obs"
"claude-3-5-haiku-20241022",TRUE,1,168.430726709529,11.6040751801716,14947.0895532793,14977.4938353775,3232
"claude-3-7-sonnet-20250219",TRUE,1,3632.07071956402,10.9101822343838,51038.0044691308,51072.9740898379,8054
"claude-sonnet-4-20250514",TRUE,1,3189.00002022099,19.3234712101741,49834.2231633267,49868.9478708655,7669
"deepseek-chat",TRUE,1,415.6,19.9419327945871,55911.548611561,55946.6644468833,8293
"deepseek-reasoner",TRUE,1,5038.42607990896,16.2401139889925,37850.3234664743,37883.9412501877,6146
"gemini-1.5-pro",TRUE,1,3220.54215154122,15.7927117403345,40002.1867699626,40035.9211465605,6291
"gemini-2.0-flash",TRUE,1,3394.49482736953,9.80543210398681,50888.1587957928,50922.6690325209,7347
"gemini-2.5-flash",TRUE,1,4996.68780394789,14.5583835804218,73679.9922918857,73716.0808575172,10074
"gemini-2.5-pro",TRUE,1,1121.52273374391,11.4081578752633,90848.486917497,90885.2396025093,11505
"gpt-3.5-turbo",TRUE,1,1054.40350149246,8.57857923582367,32346.4456615569,32379.2955384412,5271
"gpt-4o",TRUE,1,2588.65515518236,6.23835086280622,39493.2759675296,39526.8692853648,6116
"gpt-4o-mini",TRUE,1,584.240086015974,8.37067934027991,40092.8657492187,40126.2725031066,5892
"o1",TRUE,1,2109.50230644284,6.28165490406637,44274.2972059107,44308.4906899724,6896
"o3",TRUE,1,6466.53603554466,12.7737371341277,273721.24776884,273762.519371165,28405
"o4-mini",TRUE,1,3931.34469484898,14.1261404155548,66839.0050744156,66874.4791608192,8909
