term,estimate,std.error,statistic,p.value
(Intercept),61.53889077649498,0.616962816775883,99.74489402470668,0
sourceclaude-3-7-sonnet-20250219,-19.861826591316586,0.8195871815421835,-24.233940011047274,5.069623822283783e-122
sourceclaude-sonnet-4-20250514,-18.02879185840262,0.8195871815422132,-21.997405845803897,6.3030046560222926e-102
sourcedeepseek-chat,-18.219001845641117,0.8195871815422164,-22.229486082686698,6.107044031312886e-104
sourcedeepseek-reasoner,-21.20603712339979,0.8195871815421762,-25.87404683843084,1.0665368936627774e-137
sourcegemini-1.5-pro,-10.64034046003501,0.8195871815421649,-12.982560854616784,7.341434851677135e-38
sourcegemini-2.0-flash,-16.79593889898647,0.8195871815422464,-20.49316933847227,2.726950931680176e-89
sourcegemini-2.5-flash,-42.69155518978224,0.8195871815422031,-52.089095768250395,0
sourcegemini-2.5-pro,-46.95986077745846,0.8195871815421911,-57.29696832141223,0
sourcegpt-3.5-turbo,40.40065301182223,0.819587181542181,49.29390542175404,0
sourcegpt-4o,-6.044517985623995,0.8195871815421785,-7.375076284441529,1.9461763573622388e-13
sourcegpt-4o-mini,-12.997515333733114,0.8195871815422084,-15.858612270235643,3.7764891890151565e-55
sourceo1,-35.611546346297935,0.8195871815421831,-43.45058969722924,0
sourceo3,-24.167786807073032,0.8195871815421858,-29.487755971972906,7.88429812585442e-175
sourceo4-mini,-32.66728745369854,0.8195871815421812,-39.85822154054428,1.1798580123953759e-297
task2,-0.4514506128998926,0.3665305302831568,-1.2316862460301254,0.21813091276930868
task3,-1.7597080973957318,0.3665305302831522,-4.80098641724694,1.6302805692659603e-6
